Pine Valley Auto Mall||
2HGEJ6677WH123456|2012|Subaru|Outback|Wagon|Green|59340|22300.00
5N1AR2MN6HC699482|2017|Nissan|Pathfinder|SUV|White|49000|22950.00
WA1C4AFP8FA003462|2015|Audi|Q5|SUV|Silver|72000|24995.00
2C3CDXBG3JH271563|2018|Dodge|Charger|Sedan|Gray|46000|27995.00
WDDZF4JBXHA234562|2017|Mercedes-Benz|E300|Sedan|Black|54000|34995.00
1GNEVHKW9MJ224583|2021|Chevrolet|Traverse|SUV|Blue|18000|34995.00
JTMZFREV7JJ234659|2018|Toyota|RAV4|SUV|Silver|49000|22500.00
4S4WMARD9L3451762|2020|Subaru|Ascent|SUV|White|23000|35500.00
KL8CD6SA9HC234659|2017|Chevrolet|Spark|Hatchback|Red|54000|9500.00
3TMCZ5AN9LM234657|2020|Toyota|Tacoma|Truck|Gray|12000|37995.00
1C6SRFFT7LN123465|2020|Ram|1500 Big Horn|Truck|Black|29000|43995.00